SiteName,Syear,Eyear,Source,srfdata_dir,srfdata_name,metdata_dir,metdata_name,IGBP_CLASS,longitude,latitude
AT-Neu,2002,2012,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,AT-Neu_2002-2012_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,AT-Neu_2002-2012_FLUXNET2015_Met.nc,10,11.3175,47.1166
AU-Cpr,2011,2017,OzFlux,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,AU-Cpr_2011-2017_OzFlux_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,AU-Cpr_2011-2017_OzFlux_Met.nc,9,140.5891,-34.002
AU-DaP,2009,2012,OzFlux,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,AU-DaP_2009-2012_OzFlux_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,AU-DaP_2009-2012_OzFlux_Met.nc,10,131.318,-14.0633
AU-DaS,2010,2017,OzFlux,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,AU-DaS_2010-2017_OzFlux_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,AU-DaS_2010-2017_OzFlux_Met.nc,9,131.388,-14.1592
AU-Dry,2011,2015,OzFlux,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,AU-Dry_2011-2015_OzFlux_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,AU-Dry_2011-2015_OzFlux_Met.nc,9,132.3706,-15.2587
AU-How,2003,2017,OzFlux,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,AU-How_2003-2017_OzFlux_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,AU-How_2003-2017_OzFlux_Met.nc,8,131.1499,-12.4952
AU-Lit,2016,2017,OzFlux,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,AU-Lit_2016-2017_OzFlux_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,AU-Lit_2016-2017_OzFlux_Met.nc,8,130.7944,-13.179
AU-Stp,2010,2017,OzFlux,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,AU-Stp_2010-2017_OzFlux_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,AU-Stp_2010-2017_OzFlux_Met.nc,10,133.3502,-17.1506
BE-Bra,2004,2014,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,BE-Bra_2004-2014_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,BE-Bra_2004-2014_FLUXNET2015_Met.nc,5,4.5205,51.3091
BE-Lon,2005,2014,FLUXNET2015,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Sitedata/,BE-Lon_2005-2014_FLUXNET2015_site.nc,/tera12/yuanhua/data/CoLMpointdata/PLUMBER2s/Forcing/,BE-Lon_2005-2014_FLUXNET2015_Met.nc,12,4.7461,50.5515
